F values,Returns,Covariances,asset_1,asset_2,asset_3,asset_4,asset_5,asset_6,asset_7,asset_8,asset_9,asset_10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.003303968292567786,0.00905356867565097,0.0024456320905153987,4,8,28,25,3,12,14,19,7,11,0.0,0.0,0.0,0.01,0.6106592399649208,0.0,0.0,0.01,0.1803165117935685,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13902424824151072,0.0,0.0
-0.0033039923354100456,0.009071594484596286,0.0024636098137761947,4,28,8,19,11,7,14,12,3,25,0.0,0.0,0.0,0.01,0.6130183628574565,0.0,0.0,0.01,0.1850291131678317,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.1319525239747118,0.0,0.0
-0.0033039693826768827,0.009055756140272415,0.00244781737491865,28,4,8,7,11,12,19,14,3,25,0.0,0.0,0.0,0.01,0.6103136605477005,0.0,0.0,0.010015975165977463,0.18335641933476607,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.136313944951556,0.0,0.0
-0.0033039763648975637,0.00905750793923035,0.002449555209435224,4,28,8,12,11,3,19,14,7,25,0.0,0.0,0.0,0.01,0.6111987767331613,0.0,0.0,0.01,0.18125935099803414,0.0,0.0,0.01,0.010006116953383888,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13753575531542075,0.0,0.0
-0.0033039946741646913,0.009064018492634237,0.0024560291443048547,28,4,25,8,19,11,7,12,3,14,0.0,0.0,0.0,0.01,0.6118275814564974,0.0,0.0,0.01,0.183823467982927,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13434895056057555,0.0,0.0
-0.0033039941748935478,0.009071675272240105,0.002463686922453009,4,28,8,25,7,11,19,14,3,12,0.0,0.0,0.0,0.01,0.6136923868205653,0.0,0.0,0.01,0.1824700335669433,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13383757961249154,0.0,0.0
-0.0033039917374774724,0.009068516636362302,0.002460533161407357,4,8,28,25,7,19,11,12,14,3,0.0,0.0,0.0,0.01,0.6133556223905501,0.0,0.0,0.01,0.1813462669759668,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13529811063348335,0.0,0.0
-0.003303980452361217,0.009059081081858406,0.002451120177135972,4,8,25,28,19,7,3,14,12,11,0.0,0.0,0.0,0.01,0.6115844780943099,0.0,0.0,0.01,0.18097360474498533,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.010010842305333648,0.0,0.0,0.13743107485537115,0.0,0.0
-0.0033039886906478634,0.009062614115202507,0.0024546367339067805,4,8,12,28,25,11,7,14,19,3,0.0,0.0,0.0,0.01,0.6121722487908636,0.0,0.0,0.01,0.18140437178903074,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0100041711679042,0.0,0.0,0.13641920825220147,0.0,0.0
-0.0033039943932173643,0.009069688919505619,0.00246170013307089,4,8,28,11,19,7,12,3,14,25,0.0,0.0,0.0,0.01,0.6127376213512322,0.0,0.0,0.01,0.18465285587411287,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13260952277465507,0.0,0.0
-0.003303991822693697,0.009061631699348986,0.002453648053961591,4,25,8,28,11,14,7,19,12,3,0.0,0.0,0.0,0.01,0.6117329664895267,0.0,0.0,0.01,0.18235260748062732,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13591442602984613,0.0,0.0
-0.0033039962200631483,0.009067056602801942,0.0024590641626756455,4,8,28,25,7,14,19,3,11,12,0.0,0.0,0.0,0.01,0.6124476986974914,0.0,0.0,0.01,0.18375240352619834,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13379989777631032,0.0,0.0
-0.003303994055381518,0.009063042297810209,0.002455054187047173,4,28,8,7,11,12,3,19,25,14,0.0,0.0,0.0,0.01,0.6116872251672985,0.0,0.0,0.01,0.18361724589035944,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13469552894234213,0.0,0.0
-0.0033039863869814418,0.00906553532998997,0.0024575625560270876,8,4,25,28,7,12,19,3,14,11,0.0,0.0,0.0,0.01,0.6126103331813763,0.0,0.0,0.01,0.1819691032488742,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.010026882740873839,0.0,0.0,0.13539368082887573,0.0,0.0
-0.0033039922886465177,0.009071147277200368,0.0024631626999073336,8,4,28,25,7,14,19,11,3,12,0.0,0.0,0.0,0.01,0.613776588916214,0.0,0.0,0.01,0.1817357907175041,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.1344876203662819,0.0,0.0
-0.0033039746053083194,0.009064672970865884,0.002456723760249245,4,28,8,7,11,14,12,3,25,19,0.0,0.0,0.0,0.01,0.6123579120619218,0.0,0.0,0.010024008759759093,0.18228123757474007,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13533684160357903,0.0,0.0
-0.0033039918658652806,0.00906378531653137,0.002455801584800809,8,4,19,28,11,25,14,7,12,3,0.0,0.0,0.0,0.01,0.6122690381571623,0.0,0.0,0.01,0.18192777918378933,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.010001029002502803,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13580215365654577,0.0,0.0
