F values,Returns,Covariances,asset_1,asset_2,asset_3,asset_4,asset_5,asset_6,asset_7,asset_8,asset_9,asset_10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.0033039758415867693,0.009064059079679207,0.0024561073965056685,4,8,28,25,11,7,12,19,3,14,0.0,0.0,0.0,0.010012054746927665,0.6116251405057387,0.0,0.0,0.01,0.18466676834876455,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.010016015263631547,0.0,0.0,0.1336800211349378,0.0,0.0
-0.003303996302905679,0.009066928270576527,0.0024589356647651693,4,25,8,28,11,3,19,14,12,7,0.0,0.0,0.0,0.01,0.6126016361483734,0.0,0.0,0.01,0.18305486232630036,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13434350152532637,0.0,0.0
-0.0033039830417800242,0.009060330383262472,0.0024523642997024237,28,8,4,25,11,12,3,19,14,7,0.0,0.0,0.0,0.01,0.6117880389193362,0.0,0.0,0.01,0.18114460005702754,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.010011062574569341,0.0,0.0,0.13705629844906697,0.0,0.0
-0.0033039962773119035,0.009066531302017759,0.0024585387473939524,4,25,8,28,19,14,11,12,3,7,0.0,0.0,0.0,0.01,0.6124167811442403,0.0,0.0,0.01,0.1834679436068065,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13411527524895328,0.0,0.0
-0.0033039924497502335,0.009062513335880514,0.0024545284363800468,4,8,28,25,11,19,3,7,12,14,0.0,0.0,0.0,0.01,0.6119434882174812,0.0,0.0,0.01,0.18221310274165656,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13584340904086228,0.0,0.0
-0.0033039781164604515,0.009074697460350466,0.002466741227429563,4,8,28,25,12,7,19,3,11,14,0.0,0.0,0.0,0.01,0.6137088206353786,0.0,0.0,0.010011891584876953,0.18474963843777578,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.010009166899481507,0.0,0.0,0.13152048244248724,0.0,0.0
-0.0033039914304775243,0.009066869867076605,0.0024588870061215567,4,28,8,7,19,11,12,14,25,3,0.0,0.0,0.0,0.01,0.6130493711210218,0.0,0.0,0.01,0.1812685991199445,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13568202975903376,0.0,0.0
-0.0033039952999463704,0.009065232521491287,0.002457241921598546,4,8,28,14,11,12,7,3,19,25,0.0,0.0,0.0,0.01,0.6123685998966525,0.0,0.0,0.01,0.18265472204390218,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13497667805944547,0.0,0.0
-0.003303991178330491,0.009074112702014761,0.002466130345353779,4,28,8,11,19,12,7,3,25,14,0.0,0.0,0.0,0.01,0.6139097687354932,0.0,0.0,0.01,0.18350352463408068,0.0,0.0,0.010002252905763445,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13258445372466277,0.0,0.0
-0.003303994180309959,0.00906726775333018,0.002459279392710262,4,25,28,8,7,19,11,12,3,14,0.0,0.0,0.0,0.01,0.6129546938469375,0.0,0.0,0.01,0.18194334267399107,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.1351019634790715,0.0,0.0
-0.003303996414693651,0.00906729851802224,0.002459305688634937,8,4,28,7,19,12,11,14,3,25,0.0,0.0,0.0,0.01,0.6126494146766308,0.0,0.0,0.01,0.1831542933240424,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13419629199932687,0.0,0.0
-0.003303993019099169,0.009061897320638805,0.0024539112824404664,4,28,8,11,12,14,19,3,7,25,0.0,0.0,0.0,0.01,0.611543423480295,0.0,0.0,0.01,0.1832943905317994,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.1351621859879057,0.0,0.0
-0.0033039943118184987,0.009066549015021375,0.0024585603913843774,4,8,28,7,25,11,14,3,19,12,0.0,0.0,0.0,0.01,0.6127932478717284,0.0,0.0,0.01,0.18201748826262706,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13518926386564456,0.0,0.0
